#{"t_start": 1586705061.2739937, "env_id": "JacoGazebo-v1"}
r,l,t
-19.796648,50,111.437801
-20.384721,50,218.636405
-22.727777,50,325.909595
-20.648544,50,433.238478
-25.683313,50,540.512568
-21.491818,50,647.736012
-21.4728,50,754.96385
-22.881104,50,862.43148
-25.816898,50,969.610987
-19.639656,50,1076.780033
-21.787958,50,1184.070452
-22.00831,50,1291.524868
-22.443955,50,1398.722595
-22.936152,50,1506.099442
-18.95407,50,1613.471973
-25.453729,50,1720.791749
-22.798739,50,1827.990752
-21.256687,50,1935.208576
-24.060503,50,2042.354864
-17.820457,50,2149.670851
-23.821955,50,2257.048328
-20.280393,50,2364.310613
-20.539243,50,2471.558684
-21.672496,50,2578.715997
-21.665402,50,2685.855879
-24.899476,50,2793.248271
-20.76137,50,2900.398983
-24.384015,50,3007.568086
-23.798484,50,3114.853367
-20.069956,50,3222.089118
-20.96035,50,3329.406841
-20.201174,50,3436.64005
-19.597876,50,3543.836197
-23.514498,50,3651.100895
-24.343873,50,3758.269534
-20.315165,50,3865.799528
-27.982428,50,3973.048742
-23.990683,50,4080.192111
-23.527716,50,4187.424956
-19.009038,50,4294.73573
-21.962874,50,4402.018211
-18.77029,50,4509.256445
-22.396212,50,4616.480003
-18.041325,50,4723.816239
-22.969214,50,4831.013059
-22.741324,50,4938.215032
-21.830773,50,5045.568338
-24.767228,50,5155.549797
-20.650454,50,5262.769953
-28.480009,50,5369.964401
-23.75862,50,5477.209432
-22.348905,50,5584.597724
-22.150763,50,5691.827852
-21.616021,50,5799.038084
-19.315861,50,5906.168483
-19.584547,50,6013.32555
-28.601966,50,6125.298198
-27.831578,50,6241.595889
-22.999712,50,6348.952268
-22.289716,50,6456.102247
-25.731181,50,6563.223048
-22.862348,50,6670.553244
-19.890431,50,6777.737957
-18.212321,50,6885.001803
-22.150008,50,6993.969161
-26.233926,50,7101.181736
-21.460987,50,7208.48565
-17.922021,50,7315.710966
-24.122018,50,7424.717574
-23.910306,50,7532.880261
-22.100776,50,7640.241824
-22.328153,50,7747.624951
-19.486487,50,7855.0063
-22.947088,50,7962.19516
-19.624691,50,8069.525087
-21.29264,50,8176.728831
-18.592841,50,8283.970009
-21.67468,50,8391.195073
-20.171813,50,8498.541991
-22.335617,50,8606.188466
-24.993724,50,8714.741834
-21.751044,50,8822.655429
-24.307079,50,8930.271009
-22.316438,50,9039.28977
-21.583595,50,9147.712405
-23.646859,50,9256.484927
-23.451017,50,9365.260881
-28.99483,50,9472.558184
-21.408422,50,9579.81158
-22.376549,50,9687.095084
-29.455386,50,9794.306864
-22.014485,50,9901.500073
-20.276003,50,10008.738878
-18.723791,50,10115.890789
-17.506308,50,10223.017183
-20.944808,50,10330.158931
-22.779367,50,10437.215308
-23.665758,50,10544.704082
-25.481854,50,10651.96656
-22.951843,50,10759.277231
-27.248179,50,10866.547905
-21.671388,50,10973.684122
-22.991313,50,11081.412591
-19.941368,50,11189.247573
-23.608946,50,11299.817836
-24.315235,50,11409.821712
-26.710256,50,11518.101177
-26.226099,50,11626.280468
-21.138618,50,11734.395917
-27.773372,50,11844.25886
-26.103252,50,11954.530134
-28.354743,50,12066.704627
-20.439654,50,12174.885832
-21.368226,50,12282.962474
-23.865526,50,12391.300773
-22.301138,50,12499.487819
-22.997951,50,12608.719276
-17.322807,50,12717.952357
-23.957524,50,12827.780932
-24.844552,50,12937.032375
-25.890216,50,13045.498476
-19.68172,50,13152.648307
-21.435903,50,13259.966675
-22.096306,50,13367.124271
-19.063636,50,13474.290073
-21.18146,50,13581.649835
-23.90373,50,13688.824158
-22.862854,50,13796.010686
-25.553532,50,13903.190497
-22.70376,50,14010.288474
-18.699909,50,14117.574313
-26.225921,50,14224.854035
-20.872754,50,14331.991997
-18.934178,50,14439.269682
-20.949241,50,14546.331312
-20.248967,50,14655.817758
-26.388435,50,14762.999609
-20.194081,50,14870.164785
-18.795993,50,14977.311342
-18.275172,50,15084.645139
-22.898024,50,15191.824282
-18.029806,50,15298.949053
-18.796028,50,15406.181136
-21.618614,50,15513.414407
-23.321771,50,15620.647813
-18.073503,50,15728.162718
-17.195779,50,15835.223101
-22.810642,50,15942.239959
-18.261752,50,16049.518613
-27.466464,50,16156.740503
-26.61783,50,16263.870475
-26.306661,50,16371.02535
-20.029422,50,16478.280067
-23.201231,50,16585.566825
-22.824153,50,16692.800697
-25.086649,50,16800.014541
-19.360318,50,16907.23642
-20.027694,50,17014.537173
-22.477221,50,17121.821911
-21.121419,50,17229.006039
-20.700171,50,17336.29405
-23.790754,50,17443.562332
-26.509542,50,17550.881999
-21.794384,50,17658.080132
-22.828785,50,17765.311612
-26.665143,50,17872.546683
-21.127766,50,17979.649543
-21.223669,50,18086.715757
-20.334672,50,18193.835853
-22.436642,50,18300.94854
-21.211398,50,18408.145813
-18.53703,50,18515.200891
-18.790944,50,18622.327463
-18.513112,50,18729.386973
-21.20009,50,18836.520745
-23.317527,50,18943.764595
-25.024162,50,19051.063354
-19.110481,50,19158.307047
-17.96818,50,19265.384042
-21.206361,50,19372.64927
-18.474943,50,19479.832601
-20.85068,50,19587.097717
-19.908242,50,19694.262397
-27.120135,50,19803.551336
-28.109475,50,19911.850183
-22.558257,50,20020.440945
-30.679137,50,20128.681019
-24.867147,50,20235.925251
-22.799534,50,20343.237519
-23.309794,50,20450.440614
-29.853732,50,20557.587512
-22.494761,50,20664.829055
-25.88765,50,20772.129912
-23.613494,50,20879.243089
-22.308883,50,20986.42264
-18.861467,50,21093.6828
-18.203657,50,21200.84688
-22.762697,50,21308.034592
-18.798802,50,21415.259432
