#{"t_start": 1587131354.475622, "env_id": "JacoGazebo-v1"}
r,l,t
-21.301732,50,41.696547
-17.198883,50,80.899474
-19.365473,50,120.528865
-20.598579,50,159.841534
-18.768438,50,198.044038
-21.904903,50,236.933924
-22.188547,50,276.201749
-22.643605,50,315.367592
-19.242444,50,352.967345
-19.77403,50,391.511204
-19.922688,50,430.676234
-21.326385,50,469.701725
-16.498287,50,509.817455
-21.83205,50,547.511151
-21.464945,50,586.610116
-22.326617,50,625.244945
-21.851848,50,664.598543
-20.930634,50,703.506508
-22.64663,50,742.183163
-17.777961,50,780.626248
-17.427946,50,820.702205
-16.439644,50,860.26934
-16.664136,50,898.271524
-20.343011,50,936.639134
-16.316625,50,975.797369
-21.31162,50,1014.1864
-20.56703,50,1052.367188
-20.457507,50,1092.030067
-18.126825,50,1132.137528
-24.796913,50,1170.692229
-20.554786,50,1209.406763
-22.042203,50,1248.957827
-21.363191,50,1288.05896
-16.237791,50,1327.65553
-21.324316,50,1366.624678
-20.938918,50,1404.732234
-25.336541,50,1444.635692
-20.678191,50,1483.954773
-21.083005,50,1522.625893
-23.777423,50,1561.868244
-16.751837,50,1601.864438
-30.028387,50,1640.982664
-24.120788,50,1679.649043
-20.556237,50,1718.167181
-22.981689,50,1756.548408
-19.095163,50,1795.478194
-20.37764,50,1834.276592
-25.28947,50,1873.667081
-17.775833,50,1911.610389
-22.587665,50,1950.783444
-24.925438,50,1989.903049
-21.048237,50,2029.309587
-17.527804,50,2069.329456
-18.527819,50,2108.577628
-17.107126,50,2147.717572
-20.15026,50,2186.979587
-19.884931,50,2226.283218
-21.846514,50,2264.315271
-21.016359,50,2303.832636
-18.55499,50,2342.361688
-14.976643,50,2382.00189
-15.08238,50,2421.587559
-25.069424,50,2460.656254
-19.973495,50,2500.185591
-21.613227,50,2539.052567
-15.416325,50,2577.904485
-23.073077,50,2616.586233
-21.091635,50,2656.537745
-15.635994,50,2694.987405
-19.631659,50,2733.714936
-18.921222,50,2773.001611
-21.038191,50,2812.625303
-21.36232,50,2851.663318
-23.73151,50,2891.787406
-18.506041,50,2931.367268
-25.190415,50,2970.560986
-24.018424,50,3011.753762
-21.281205,50,3050.436477
-23.56114,50,3089.24164
-22.122485,50,3128.331491
-25.390286,50,3166.79301
-17.389324,50,3205.261301
-22.210566,50,3244.276771
-24.347008,50,3284.582807
-27.129166,50,3322.75434
-21.113806,50,3362.34892
-18.482467,50,3400.902009
-16.049104,50,3440.559822
-20.07101,50,3478.943259
-18.285397,50,3518.703279
-17.541182,50,3558.155689
-24.335483,50,3597.741554
-16.448743,50,3635.889263
-17.77022,50,3674.658854
-23.806092,50,3714.329722
-22.635999,50,3753.651879
-21.124304,50,3793.419904
-17.701431,50,3832.559388
-15.345964,50,3872.738498
-14.972736,50,3911.930268
-22.47741,50,3951.644781
-24.172092,50,3991.158764
-25.619804,50,4029.740751
-26.559462,50,4067.60995
-16.245746,50,4107.232896
-16.151528,50,4146.135646
-21.224842,50,4185.120651
-17.959595,50,4225.0549
-22.602309,50,4264.636461
-20.939627,50,4303.702699
-20.476392,50,4343.3987
-26.561895,50,4382.88364
-22.312057,50,4421.423345
-19.957339,50,4459.87197
-22.248659,50,4497.644192
-19.370675,50,4537.58709
-20.646041,50,4576.749444
-17.724975,50,4615.191815
-19.510908,50,4654.658675
-24.060726,50,4693.189198
-24.851884,50,4733.813753
-21.759762,50,4771.68411
-21.98586,50,4810.277869
-25.959917,50,4850.140826
-25.641591,50,4888.501105
-20.935708,50,4926.719583
-20.007077,50,4965.126991
-19.17977,50,5003.773789
-17.501679,50,5043.04413
-23.724186,50,5082.68079
-20.566343,50,5121.473302
-19.055191,50,5160.241218
-16.197321,50,5199.246009
-21.974457,50,5237.907681
-23.882178,50,5277.105027
-22.460326,50,5315.665692
-22.961039,50,5355.251368
-22.148343,50,5393.184133
-20.66902,50,5431.602067
-24.711998,50,5471.233226
-20.065777,50,5509.58652
-20.129516,50,5547.656641
-15.729284,50,5587.425545
-22.534075,50,5625.840095
-21.214843,50,5664.937603
-20.674365,50,5704.461418
-17.486278,50,5743.11634
-18.951639,50,5781.457057
-19.452125,50,5819.332202
-15.296512,50,5858.997324
-22.616249,50,5897.905595
-26.243542,50,5936.916504
-17.51006,50,5975.670306
-20.129377,50,6014.493554
-16.248323,50,6053.301664
-26.994215,50,6093.87298
-19.419192,50,6132.693434
-18.42631,50,6171.516498
-21.77129,50,6211.230184
-18.310093,50,6249.560083
-21.850914,50,6288.429869
-19.816796,50,6326.305917
-19.10081,50,6366.817281
-19.71969,50,6406.30881
-21.340482,50,6444.930821
-24.161258,50,6483.238884
-22.568959,50,6522.566478
-20.598433,50,6561.977261
-22.29698,50,6600.593614
-20.934345,50,6640.881704
-24.51972,50,6679.28877
-21.291411,50,6718.150304
-22.906412,50,6757.327711
-22.849422,50,6796.710774
-20.66519,50,6835.553493
-22.987162,50,6877.799561
-21.120842,50,6920.292269
-22.227798,50,6959.985212
-23.645224,50,7002.945277
-18.679412,50,7044.087169
-19.658277,50,7084.97121
-27.015992,50,7125.812251
-21.49601,50,7165.621941
-19.916404,50,7204.960821
-21.765744,50,7246.482984
-23.547204,50,7286.918164
-14.466908,50,7325.973968
-18.613181,50,7366.492186
-21.969037,50,7408.22824
-18.334197,50,7447.43594
-18.514166,50,7486.583287
-20.359267,50,7525.548544
-23.439597,50,7565.478148
-15.315036,50,7606.320462
-24.354651,50,7645.866164
-22.408548,50,7685.769549
-17.2524,50,7726.527267
-19.582738,50,7765.636356
-20.562296,50,7805.545099
-18.411729,50,7845.607804
